site_code,State
GBR232,Northeast
GBR234,Northeast
GBR237,Northeast
GBR238,Northeast
GBR239,Northeast
GBR24,Northeast
GBR240,Northeast
GBR243,Northeast
GBR244,Northeast
GBR247,Northeast
GBR248,Northeast
GBR249,Northeast
GBR25,Northeast
GBR250,Northeast
GBR251,Northeast
GBR252,Northeast
GBR253,Northeast
GBR254,Northeast
GBR255,Northeast
GBR256,Northeast
GBR257,Northeast
GBR259,Northeast
GBR26,Northeast
GBR260,Northeast
GBR261,Northeast
GBR262,Northeast
GBR263,Northeast
GBR264,Northeast
GBR265,Northeast
GBR27,Northeast
GBR3,Northeast
GBR33,Northeast
GBR34,Northeast
GBR39,Northeast
GBR41,Northeast
GBR42,Northeast
GBR45,Northeast
GBR46,Northeast
GBR47,Northeast
GBR48,Northeast
GBR49,Northeast
GBR51,Northeast
GBR52,Northeast
GBR53,Northeast
GBR54,Northeast
GBR55,Northeast
GBR56,Northeast
GBR57,Northeast
GBR58,Northeast
GBR59,Northeast
GBR60,Northeast
GBR62,Northeast
GBR63,Northeast
GBR64,Northeast
GBR65,Northeast
GBR67,Northeast
GBR70,Northeast
GBR76,Northeast
GBR77,Northeast
GBR78,Northeast
GBR80,Northeast
GBR81,Northeast
GBR93,Northeast
GBR94,Northeast
GBR98,Northeast
GBR99,Northeast
GC14,Northwest
GC16,Northwest
GC17,Northwest
GC7,Northwest
GC9,Northwest
GREEN ISLAND REEF-1,Northeast
GREEN ISLAND REEF-2,Northeast
GREEN ISLAND REEF-3,Northeast
GRUB REEF(18077)-1,Northeast
GRUB REEF(18077)-2,Northeast
GRUB REEF(18077)-3,Northeast
GSV1,South
GSV100,South
GSV105,South
GSV106,South
GSV107,South
GSV108,South
GSV11,South
GSV110,South
GSV111,South
GSV112,South
GSV113,South
GSV114,South
GSV115,South
GSV116,South
GSV117,South
GSV118,South
GSV119,South
GSV12,South
GSV120,South
GSV121,South
GSV124,South
GSV125,South
GSV126,South
GSV127,South
GSV128,South
GSV129,South
GSV130,South
GSV131,South
GSV132,South
GSV133,South
GSV134,South
GSV135,South
GSV136,South
GSV137,South
GSV138,South
GSV139,South
GSV14,South
GSV140,South
GSV141,South
GSV15,South
GSV151,South
GSV153,South
GSV154,South
GSV159,South
GSV160,South
GSV162,South
GSV163,South
GSV165,South
GSV17,South
GSV176,South
GSV178,South
GSV18,South
GSV184,South
GSV187,South
GSV189,South
GSV19,South
GSV191,South
GSV2,South
GSV20,South
GSV21,South
GSV24,South
GSV25,South
GSV26,South
GSV28,South
GSV3,South
GSV30,South
GSV34,South
GSV39,South
GSV4,South
GSV40,South
GSV41,South
GSV42,South
GSV43,South
GSV45,South
GSV46,South
GSV47,South
GSV5,South
GSV53,South
GSV55,South
GSV56,South
GSV57,South
GSV58,South
GSV59,South
GSV60,South
GSV62,South
GSV64,South
GSV7,South
GSV70,South
GSV80,South
GSV81,South
GSV82,South
GSV83,South
GSV85,South
GSV86,South
GSV9,South
GSV93,South
GSV94,South
GSV95,South
GSV96,South
GSV97,South
GSV99,South
HASTINGS REEF-1,Northeast
HASTINGS REEF-2,Northeast
HASTINGS REEF-3,Northeast
HAVANNAH REEF-1,Northeast
HAVANNAH REEF-2,Northeast
HAVANNAH REEF-3,Northeast
HAYMAN ISLAND REEF-1,Northeast
HAYMAN ISLAND REEF-2,Northeast
HAYMAN ISLAND REEF-3,Northeast
HEDLEY REEF-1,Northeast
HEDLEY REEF-2,Northeast
HEDLEY REEF-3,Northeast
HELIX REEF-1,Northeast
HELIX REEF-2,Northeast
HELIX REEF-3,Northeast
HORSESHOE-1,Northeast
HORSESHOE-2,Northeast
HORSESHOE-3,Northeast
HOSKYN ISLANDS REEF-1,Northeast
HOSKYN ISLANDS REEF-2,Northeast
HOSKYN ISLANDS REEF-3,Northeast
HYDE REEF-1,Northeast
HYDE REEF-2,Northeast
HYDE REEF-3,Northeast
JBMP10,Southeast
JBMP11,Southeast
JBMP15,Southeast
JBMP20,Southeast
JBMP21,Southeast
JBMP22,Southeast
JBMP23,Southeast
JBMP26,Southeast
JBMP34,Southeast
JBMP36,Southeast
JBMP37,Southeast
JBMP43,Southeast
JBMP46,Southeast
JBMP52,Southeast
JBMP54,Southeast
JBMP62,Southeast
JBMP-S1,Southeast
JBMP-S10,Southeast
JBMP-S11,Southeast
JBMP-S12,Southeast
JBMP-S13,Southeast
JBMP-S14,Southeast
JBMP-S15,Southeast
JBMP-S16,Southeast
JBMP-S17,Southeast
JBMP-S18,Southeast
JBMP-S19,Southeast
JBMP-S2,Southeast
JBMP-S20,Southeast
JBMP-S21,Southeast
JBMP-S22,Southeast
JBMP-S23,Southeast
JBMP-S24,Southeast
JBMP-S25,Southeast
JBMP-S26,Southeast
JBMP-S27,Southeast
JBMP-S3,Southeast
JBMP-S4,Southeast
JBMP-S5,Southeast
JBMP-S6,Southeast
JBMP-S7,Southeast
JBMP-S8,Southeast
JBMP-S9,Southeast
JENKINS REEF-1,Northeast
JENKINS REEF-2,Northeast
JENKINS REEF-3,Northeast
JMP-S1,Southwest
JMP-S10,Southwest
JMP-S11,Southwest
JMP-S12,Southwest
JMP-S13,Southwest
JMP-S14,Southwest
JMP-S15,Southwest
JMP-S16,Southwest
JMP-S17,Southwest
JMP-S18,Southwest
JMP-S19,Southwest
JMP-S2,Southwest
JMP-S20,Southwest
JMP-S21,Southwest
JMP-S22,Southwest
JMP-S23,Southwest
JMP-S24,Southwest
JMP-S25,Southwest
JMP-S26,Southwest
JMP-S27,Southwest
JMP-S28,Southwest
JMP-S29,Southwest
JMP-S3,Southwest
JMP-S30,Southwest
JMP-S31,Southwest
JMP-S32,Southwest
JMP-S33,Southwest
JMP-S34,Southwest
JMP-S35,Southwest
JMP-S36,Southwest
JMP-S37,Southwest
JMP-S38,Southwest
JMP-S39,Southwest
JMP-S4,Southwest
JMP-S40,Southwest
JMP-S41,Southwest
JMP-S42,Southwest
JMP-S5,Southwest
JMP-S6,Southwest
JMP-S7,Southwest
JMP-S8,Southwest
JMP-S9,Southwest
JOHN BREWER REEF-1,Northeast
JOHN BREWER REEF-2,Northeast
JOHN BREWER REEF-3,Northeast
KELSO REEF-1,Northeast
KELSO REEF-2,Northeast
KELSO REEF-3,Northeast
KG-S1,Tasmania
KG-S10,Tasmania
KG-S11,Tasmania
KG-S12,Tasmania
KG-S13,Tasmania
KG-S14,Tasmania
KG-S15,Tasmania
KG-S16,Tasmania
KG-S17,Tasmania
KG-S18,Tasmania
KG-S19,Tasmania
KG-S2,Tasmania
KG-S20,Tasmania
KG-S21,Tasmania
KG-S22,Tasmania
KG-S23,Tasmania
KG-S25,Tasmania
KG-S3,Tasmania
KG-S4,Tasmania
KG-S7,Tasmania
