SPECIES_NAME,Family,Class,Taxon,Diet,Diet2,Slope,N,Spearman,Sig,Direction,Change,Max depth,Max depth,Max Length,Max Length,Max Length,Commercially exploited,N site,Lat Span degrees,endemism,Mobility,SiteLat,SiteLong,T Mean,T Mean,Biogeog,Chl mean,Count of 1450 sites,"Province 142 TI 147 prom 118 albany, temp <16 >21 oC chlorophyll >0.6",Biogeog2
Pomacentrus bankanensis,Pomacentridae,Actinopterygii,Vertebrate,Omnivore,Herbivore,0.034174444,2356,0.258241758,,,1.325332611,12,2.48490665,9,2.197224577,2,n,56.83139419,24,non-endemic,demersal,-18.26433356,144.6727039,26.34481634,26.4,tropical,0.539897961,393,IWP,tropical
Scarus psittacus,Labridae,Actinopterygii,Vertebrate,Scraping herbivore,Herbivore,-0.029226545,2322,-0.631868132,*,down,0.743466697,25,3.218875825,30,3.401197382,3,n,5.502736594,23,non-endemic,demersal,-20.06647801,148.2196063,25.92923404,26,tropical,0.523095748,361,IWP,tropical
Cenolia trichoptera,Comasteridae,Crinoidea,Invertebrate,Planktivore,Invertivore,-0.068683409,2300,-0.675824176,*,down,0.480906226,70,4.248495242,46,3.828641396,4,n,359.9668878,14,endemic,benthic,-36.84032722,142.1537437,17.23067312,17.2,temperate,1.086807687,529,S,cool
Scarus rivulatus,Labridae,Actinopterygii,Vertebrate,Scraping herbivore,Herbivore,0.000354137,2280,-0.406593407,,,1.007293159,30,3.401197382,40,3.688879454,4,n,10.2865514,22,non-endemic,demersal,-20.00603222,145.5749223,25.82375575,25.8,tropical,0.708290702,387,N,tropical
Scarus globiceps,Labridae,Actinopterygii,Vertebrate,Scraping herbivore,Herbivore,0.032045288,2253,0.554945055,*,up,1.414992121,12,2.48490665,27,3.295836866,3,n,4.968697877,22,non-endemic,demersal,-20.02281252,149.1043116,25.81590409,25.8,tropical,0.535438358,321,IWP,tropical
Choerodon fasciatus,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.043698077,2228,-0.648351648,*,down,0.621534513,35,3.555348061,30,3.401197382,3,n,2.436655117,14,non-endemic,demersal,-18.71498268,148.49662,26.1469714,26.2,tropical,0.622071431,325,N,tropical
Centrostephanus rodgersii,Diadematidae,Echinoidea,Invertebrate,Scraping herbivore,Herbivore,-0.000850954,2152,-0.428571429,,,1.00839185,35,3.555348061,10,2.302585093,2,n,1307.655591,14,endemic,benthic,-35.57426369,151.4720768,17.99947291,18,temperate,0.95065454,371,SE,warm
Enoplosus armatus,Enoplosidae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.036600109,2145,-0.214285714,,,0.685162537,100,4.605170186,50,3.912023005,4,n,7.442322407,13,endemic,demersal,-35.5186268,141.953486,17.71490227,17.8,temperate,1.05934782,481,SW,warm
Pomacentrus coelestis,Pomacentridae,Actinopterygii,Vertebrate,Omnivore,Herbivore,0.009648128,2134,0.120879121,,,1.082329686,20,2.995732274,9,2.197224577,2,n,121.9475673,27,non-endemic,demersal,-22.81024447,143.5329178,25.32272607,25.4,tropical,0.70369178,530,N,tropical
Chaetodon plebeius,Chaetodontidae,Actinopterygii,Vertebrate,Corallivore,Invertivore,-0.030296537,2115,-0.521978022,,,0.741418646,10,2.302585093,15,2.708050201,3,n,2.8799725,22,non-endemic,demersal,-19.7732285,147.140399,25.77204391,25.8,tropical,0.486657897,467,IWP,tropical
Siganus corallinus,Siganidae,Actinopterygii,Vertebrate,Browsing herbivore,Herbivore,-0.035159338,2112,-0.906593407,***,down,0.704275153,30,3.401197382,35,3.555348061,4,n,2.234933101,14,non-endemic,demersal,-18.67511266,147.8592127,26.41224998,26.4,tropical,0.614765628,308,N,tropical
Haliotis rubra,Haliotidae,Gastropoda,Invertebrate,Scraping herbivore,Herbivore,-0.002916636,2097,-0.384615385,,,0.986398382,40,3.688879454,22,3.091042453,3,y,144.6691847,14,endemic,benthic,-38.72222665,145.2224751,16.58855563,16.6,temperate,1.126030298,501,S,cool
Ecklonia radiata,Lessoniaceae,Brown algae,Macroalgae,primary producer,,-0.007244313,2083,-0.197802198,,,0.937506814,44,3.784189634,200,5.298317367,5,n,211.6556446,14,endemic,benthic,-38.43036926,141.7639122,16.22506952,16.2,temperate,1.210986103,379,S,cool
Cheilinus fasciatus,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.016651976,2080,-0.769230769,**,down,0.853801252,60,4.094344562,40,3.688879454,4,n,2.690583138,20,non-endemic,demersal,-17.71168278,144.5891105,26.54498944,26.6,tropical,0.570084214,381,IWP,tropical
Chromis atripectoralis,Pomacentridae,Actinopterygii,Vertebrate,Planktivore,Invertivore,-0.042808968,2027,-0.087912088,,,0.603717472,29,3.36729583,12,2.48490665,2,n,133.6708775,22,non-endemic,demersal,-19.04917296,145.4075554,26.05176725,26,tropical,0.533801726,456,IWP,tropical
Lutjanus carponotatus,Lutjanidae,Actinopterygii,Vertebrate,Higher carnivore,Piscivore,-0.073143755,1995,-0.71978022,**,down,0.477422332,80,4.382026635,40,3.688879454,4,y,6.366071158,14,non-endemic,demersal,-19.11522117,145.3966702,26.40564036,26.4,tropical,0.853910114,326,N,tropical
Chrysiptera rollandi,Pomacentridae,Actinopterygii,Vertebrate,Omnivore,Herbivore,-0.022029625,1993,-0.318681319,,,0.772459477,35,3.555348061,7.5,2.014903021,2,n,72.86171349,14,non-endemic,demersal,-18.41334752,148.1446126,26.22527624,26.2,tropical,0.623355265,319,N,tropical
Pomacentrus magniseptus,Pomacentridae,Actinopterygii,Vertebrate,Planktivore,Invertivore,-0.011752455,1958,-0.247252747,,,0.847838856,15,2.708050201,10,2.302585093,2,n,55.1018016,14,endemic,demersal,-18.57769045,148.2609719,26.16033332,26.2,tropical,0.664437504,223,N,tropical
Dinolestes lewini,Dinolestidae,Actinopterygii,Vertebrate,Higher carnivore,Piscivore,-0.010461076,1938,0.258241758,,,0.920522295,60,4.094344562,90,4.49980967,4,n,13.24764804,16,endemic,pelagic,-37.61885945,145.8726185,16.92139591,17,temperate,1.073218745,488,S,cool
Scarus altipinnis,Labridae,Actinopterygii,Vertebrate,Scraping herbivore,Herbivore,0.005465124,1890,-0.445054945,,,1.066514142,50,3.912023005,60,4.094344562,4,n,2.869297116,22,non-endemic,demersal,-19.80356293,149.8490531,25.91736897,26,tropical,0.458660196,426,IWP,tropical
